Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($20,512,935,817) Ins:5391 Outs:451",34xp4vRo,248598.0,20512935817.0,1.25,2018-10-18 12:59:18+00:00,2025-03-09 10:00:53+00:00,5391,2018-10-18 13:19:26+00:00,2023-01-07 06:15:34+00:00,451,2335,1,793.0,SegWit,4940,792.0,793,2 years - 3 years
"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:156,010 BTC ($12,873,115,206) Ins:280 Outs:182",bc1qgdjq,156010.0,12873115206.0,0.7866,2019-08-16 10:00:29+00:00,2025-02-26 08:54:59+00:00,280,2020-02-02 17:43:14+00:00,2024-11-21 18:59:48+00:00,182,2033,12,109.0,Bech32,98,97.0,109,3 months - 6 months
"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,575 BTC ($11,599,480,788) Ins:442 Outs:383",bc1ql49y,140575.0,11599480788.0,0.7088,2023-05-08 18:42:20+00:00,2025-02-28 11:46:32+00:00,442,2023-05-09 23:16:11+00:00,2025-01-08 14:54:36+00:00,383,672,10,61.0,Bech32,59,51.0,61,1 month - 3 months
"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 7d:+8000 BTC / 30d:+23312 BTCBalance:125,864 BTC ($10,385,653,520) Ins:402 Outs:264",3M219KR5,125864.0,10385653520.0,0.6346,2018-11-13 14:11:02+00:00,2025-03-10 05:24:44+00:00,402,2018-11-13 14:11:02+00:00,2024-11-23 21:55:27+00:00,264,2309,0,107.0,SegWit,138,107.0,107,3 months - 6 months
"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($7,809,472,907) Ins:144 Outs:0",bc1qazcm,94643.0,7809472907.0,0.4772,2022-02-01 04:14:24+00:00,2025-02-26 09:00:28+00:00,144,,,0,1133,12,,Bech32,144,,1133,3 years - 5 years
"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:83,759 BTC ($6,911,308,657) Ins:110 Outs:101",bc1qjasf,83759.0,6911308657.0,0.4223,2022-09-30 11:50:39+00:00,2025-02-26 09:28:01+00:00,110,2022-09-30 13:24:19+00:00,2024-12-23 00:41:22+00:00,101,892,12,77.0,Bech32,9,65.0,77,1 month - 3 months
"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($6,597,644,980) Ins:618 Outs:0",1FeexV6b,79957.0,6597644980.0,0.4031,2011-03-01 10:26:19+00:00,2025-02-14 11:54:16+00:00,618,,,0,5123,24,,Legacy,618,,5123,+10 years
"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($6,462,301,840) Ins:30 Outs:0",bc1q8yj0,78317.0,6462301840.0,0.3949,2024-03-23 01:55:58+00:00,2025-02-26 08:30:00+00:00,30,,,0,352,12,,Bech32,30,,352,6 months - 12 months
"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($5,724,055,396) Ins:115 Outs:0",bc1qa5wk,69370.0,5724055396.0,0.3498,2020-11-03 21:31:39+00:00,2025-02-26 09:28:01+00:00,115,,,0,1588,12,,Bech32,115,,1588,3 years - 5 years
"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($5,627,498,847) Ins:116 Outs:54",3LYJfcfH,68200.0,5627498847.0,0.3439,2019-06-17 11:52:41+00:00,2025-03-03 06:07:03+00:00,116,2022-11-18 03:36:20+00:00,2022-11-18 03:36:20+00:00,54,2093,7,843.0,SegWit,62,836.0,843,2 years - 3 years
