Country_Code,Name,Bitcoin
US,"Microstrategy, Inc.",506137.0
US,"MARA Holdings, Inc.",46374.0
US,"Riot Platforms, Inc.",18692.0
US,"Tesla, Inc.",11509.0
US,"CleanSpark, Inc.",11177.0
CA,Hut 8 Mining Corp,10273.0
US,"Coinbase Global, Inc.",9480.0
US,"Block, Inc.",8485.0
DE,Bitcoin Group SE,3605.0
JP,Metaplanet Inc.,3200.0
US,Semler Scientific,3192.0
HK,Boyaa Interactive International Limited,3183.0
CA,Galaxy Digital Holdings Ltd,3150.0
CA,HIVE Digital Technologies,2620.0
CN,Cango Inc,1945.0
US,"Exodus Movement, Inc",1900.0
SG,BITFUFU,1800.0
JP,"NEXON Co., Ltd.",1717.0
US,Fold Holdings Inc.,1485.0
US,Cipher Mining,1344.0
US,Canaan Inc.,1231.0
NO,Aker ASA,1170.0
CA,Bitfarms Ltd.,1152.0
HK,Ming Shing Group,833.0
SG,Bitdeer Technologies Group,805.0
US,"Bit Digital, Inc.",742.1
JP,Remixpoint,616.0
US,KULR Technology Group,610.0
MT,Samara Asset Group,525.0
TH,Jasmine International PCL,506.4
SG,Genius Group,440.0
CA,DMG Blockchain Solutions Inc.,423.0
AR,"MercadoLibre, Inc.",412.7
CA,Neptune Digital Assets,376.0
CN,Nano Labs,360.0
TR,Net Holding A.S.,352.0
DE,Advanced Bitcoin Technologies AG,242.2
KR,WEMADE,223.0
CA,DeFi Technologies,204.3
LI,Incrementum Digital & Physical Gold Fund,197.0
CA,Rumble Inc.,188.0
CA,LQWD Technologies Corp.,161.0
US,LM Funding America,160.5
CA,Banxa Holdings Inc.,136.0
KR,Neowiz holdings,123.0
TH,The Brooker Group,122.3
AU,DigitalX,114.9
CA,BIGG Digital Assets Inc.,100.0
JE,Coinshares International Limited,93.0
US,BTCS Inc.,78.53
HK,YUXING,78.2
US,Bitcoin Depot,71.5
CA,Matador Technologies Inc,68.14
JP,SBC Medical Group Holdings Inc,66.0
US,FRMO Corp.,62.84
KR,bitmax,50.0
CA,Mogo Inc.,50.0
CA,Cathedra Bitcoin Inc.,48.1
BR,Méliuz,45.73
CN,"Linekong Interactive Group Co., Ltd",44.2
CA,WonderFi,42.6
FR,The Blockchain Group,40.0
CA,SATO Technologies Corp,36.0
US,OneMedNet Corp.,34.0
CA,Kontrol Technologies,24.0
GB,Vinanz,23.52
CA,Cypherpunk Holdings Inc.,23.17
US,Core Scientific,21.02
CA,Digihost Technology Inc.,17.0
US,Globant S.A.,15.0
US,TeraWulf,15.0
IN,Jetking Infotrain Ltd.,14.77
CA,NameSilo Technologies Corp,14.41
IT,Intesa Sanpaolo,11.0
US,Thumzup,9.783
CA,Bitcoin Well Inc,7.531
US,"BlackRock, Inc.",6.15
US,Coin Citadel,4.0
CA,Leef Brands Inc,3.937
US,Argo Blockchain PLC,3.0
US,Sphere 3D,1.3
ZA,Altvest Capital,1.0
HK,HK Asia Holdings,1.0
