Ins,HODL_Days,Outs,Address Type
5398,802,451,SegWit
283,118,182,Bech32
443,70,383,Bech32
405,116,264,SegWit
145,1142,0,Bech32
111,86,101,Bech32
621,5132,0,Legacy
31,361,0,Bech32
116,1597,0,Bech32
117,852,54,SegWit
1442,12,650,Legacy
113,78,104,Bech32
203,3949,0,Legacy
143,2628,0,Legacy
16,27,3,Bech32
17,204,0,SegWit
60,25,17,Bech32
70,1942,0,Legacy
22,0,4,Bech32
1577,0,1508,Bech32
500,44,245,SegWit
50,1242,0,SegWit
55,1331,0,Bech32
86,273,3,Bech32
9,78,0,Bech32
54,30,45,Bech32
60,1061,10,Legacy
4763,1703,1,Bech32
48,1332,0,SegWit
187,5352,4,Legacy
167,5462,0,Legacy
23,93,4,Bech32
5423,21,5401,SegWit
88,64,59,SegWit
16,71,2,SegWit
34,1557,0,Legacy
321,664,224,SegWit
3,104,0,Legacy
33,1557,0,Legacy
54,8,3,Legacy
46536,0,45096,Bech32
19,76,4,SegWit
85,2913,1,Legacy
246,14,46,Bech32
122,5352,0,Legacy
4421,0,4387,Bech32
552,47,10,SegWit
6038,1,397,Bech32
1918342,0,1917942,Bech32
1,53,0,SegWit
25,1244,0,SegWit
19235,0,18671,SegWit
34440,0,34413,Bech32
82,2613,1,Legacy
691,1,688,Bech32
119,222,6,Legacy
4,65,3,Bech32
90,1,32,Legacy
307,2,142,Bech32
36,162,0,Taproot
26,1331,0,Bech32
221,22,219,Bech32
225,8,140,SegWit
7,385,0,Bech32
2,8,0,Legacy
491,47,465,Bech32
362,23,311,SegWit
108,4972,0,Legacy
9,379,1,Bech32
10,270,0,Bech32
975,21,729,SegWit
147,8,107,Legacy
1611,1315,0,Legacy
189,0,83,Bech32
87,5068,0,Legacy
22,1313,0,Bech32
55,5068,0,Legacy
67,5068,0,Legacy
50,2711,0,Legacy
75,5100,0,Legacy
60,5068,0,Legacy
59,5100,0,Legacy
51,5068,0,Legacy
19,868,1,Legacy
49,5068,0,Legacy
15,868,1,Legacy
16,868,1,Legacy
16,868,1,Legacy
14,868,1,Legacy
13,868,1,Legacy
13,868,1,Legacy
12,868,1,Legacy
13,868,1,Legacy
15,868,1,Legacy
43,1887,0,Legacy
34,1887,0,Legacy
36,1887,0,Legacy
7,128,0,Bech32
6,107,0,Bech32
4,749,0,SegWit
163,90,154,Bech32
8,265,0,Bech32
38,2712,0,Legacy
25,1186,1,SegWit
92,5480,0,Legacy
5,257,0,Bech32
5,253,0,Bech32
56,5336,0,Legacy
22,15,16,SegWit
3518,20,3462,SegWit
459,16,188,Legacy
6,257,0,SegWit
4,998,0,Legacy
1245,1,1194,SegWit
3,47,2,Bech32
1,56,0,SegWit
79,41,13,Legacy
87,8,26,SegWit
2,952,0,Legacy
62,1686,0,Legacy
66,1786,0,Legacy
63,1657,0,Legacy
62,1750,0,Legacy
70,1825,0,Legacy
62,1682,0,Legacy
67,1773,0,Legacy
34,4346,0,Legacy
14,2223,0,SegWit
82,5869,0,Legacy
62,1776,0,Legacy
62,1831,0,Legacy
65,1778,0,Legacy
54,1741,0,Legacy
68,1792,0,Legacy
63,1685,0,Legacy
66,1715,0,Legacy
60,1648,0,Legacy
59,1671,0,Legacy
61,1603,0,Legacy
62,1647,0,Legacy
118,5269,60,Legacy
57,1598,0,Legacy
1,7,0,SegWit
68,1574,0,Legacy
79,1570,0,Legacy
1,15,0,Legacy
86,1566,0,Legacy
86,1569,0,Legacy
88,1558,0,Legacy
132,1555,0,Legacy
130,1554,0,Legacy
128,1553,0,Legacy
12,1331,0,Bech32
10,285,0,SegWit
12,0,4,Bech32
12,538,0,Legacy
115,261,17,SegWit
101,1549,0,Legacy
132,1552,0,Legacy
130,1553,0,Legacy
124,1551,0,Legacy
134,1552,0,Legacy
78,27,76,Bech32
341593,0,332410,Legacy
115,1,89,Bech32
25,2710,0,Legacy
50,5045,0,Legacy
25,2223,0,SegWit
41,5245,0,Legacy
8,1412,0,Legacy
843,2,816,SegWit
358,15,304,SegWit
28,2790,0,Legacy
13,51,4,Legacy
14,2,12,Bech32
76,47,31,SegWit
115,1,113,Bech32
1233,43,488,Bech32
299,82,270,Legacy
30,5078,0,Legacy
196,1567,74,Legacy
3,847,0,Bech32
2,334,0,Bech32
138,91,107,Legacy
68,1536,0,Legacy
65,1535,0,Legacy
32,721,7,Bech32
68,1520,0,Legacy
70,1520,0,Legacy
64,1524,0,Legacy
57,1524,0,Legacy
61,1535,0,Legacy
57,1524,0,Legacy
146,0,145,Bech32
60,1524,0,Legacy
74,1519,0,Legacy
331,29,311,SegWit
63,1512,0,Legacy
84,1508,0,Legacy
95,1505,0,Legacy
56,20,21,Legacy
33,4346,0,Legacy
29,282,15,SegWit
31,4120,0,Legacy
1024,43,342,Bech32
7,133,0,Bech32
679,150,502,SegWit
24,2077,0,Legacy
2,111,0,SegWit
2,854,0,Legacy
66,70,12,Legacy
19,2065,0,Legacy
29,1851,0,Legacy
27,1887,0,Legacy
28,1851,0,Legacy
26,1851,0,Legacy
23,1851,0,Legacy
91,1505,0,Legacy
81,1504,0,Legacy
21,20,11,Legacy
2074,1,2002,Bech32
26,2652,0,Legacy
83,1503,0,Legacy
86,1503,0,Legacy
88,1503,0,Legacy
1621,9,1570,SegWit
43,56,26,Legacy
49,1973,8,Legacy
3,63,0,Legacy
90,1503,0,Legacy
90,1486,0,Legacy
93,1499,0,Legacy
26,2721,0,Legacy
90,1491,0,Legacy
93,1491,0,Legacy
87,1489,0,Legacy
83,1486,0,Legacy
92,1488,0,Legacy
86,1486,0,Legacy
85,1488,0,Legacy
23,2596,0,Legacy
86,1485,0,Legacy
53,8,50,Bech32
720,370,362,Bech32
5,120,0,SegWit
2157,2,2107,Legacy
10,1526,0,Bech32
2846,0,2410,SegWit
1,44,0,SegWit
21,14,20,Bech32
170,857,99,SegWit
116,0,109,Bech32
5,118,2,Bech32
1,55,0,Bech32
54417,0,54351,Legacy
26,18,1,Legacy
35525,0,35355,Bech32
60,15,56,Bech32
3,98,0,SegWit
53,36,49,Bech32
7,20,3,Bech32
122,3784,6,Legacy
24,61,6,Legacy
3,96,0,SegWit
32,5055,0,Legacy
35,3990,0,Legacy
17,2121,0,Legacy
32,3990,0,Legacy
32,3990,0,Legacy
31,3990,0,Legacy
26,2790,0,Legacy
61,90,2,Legacy
4,745,1,Bech32
3,94,0,Taproot
4,745,1,Bech32
4,745,1,Bech32
87,1485,0,Legacy
2,607,0,Legacy
4,47,2,Bech32
89,1485,0,Legacy
88,1484,0,Legacy
89,1483,0,Legacy
80,1483,0,Legacy
78,1483,0,Legacy
81,1483,0,Legacy
75,1483,0,Legacy
26,2836,0,Legacy
24,2836,0,Legacy
33,4346,0,Legacy
6,86,3,Bech32
191,420,165,Legacy
2,617,0,Legacy
3,646,0,Legacy
86,1483,0,Legacy
8,255,5,Legacy
24,2498,0,Legacy
1,58,0,SegWit
33,4106,0,Legacy
78,1482,0,Legacy
73,1483,0,Legacy
